invernadero,model,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%),R²_std,pi_coverage,pi_avg_width
4,best,6572.909131227132,0.5595222981570398,0.5595222981570398,-0.5647113174227866,14.130358938707591,,,
4,ensemble_top20,7197.041377799851,0.4718993881176551,0.4718993881176551,5.625164754484488,13.51392612103743,,,
4,top25_mean,,0.4173860373067883,,,,0.045848356225465986,,
4,cptc_pi,,,,,,,0.8421052631578947,39617.87256422927
4,best_ramp_up,8528.680535368105,-3.5100310688026317,-3.5100310688026317,13.803739566706165,13.562355923049987,,,
4,best_peak,6285.7956770797355,0.34459417408359216,0.34459417408359216,-3.3541282467552147,14.20135931566479,,,
