invernadero,model,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%),R²_std,pi_coverage,pi_avg_width
4,best,6993.8271484375,0.5013009786832151,0.5013009607791901,3.558269954616169,14.134977757930756,,,
4,ensemble_top20,7355.5244140625,0.44838516173814325,0.4483851194381714,6.795478235599161,13.89414519071579,,,
4,top25_mean,,0.42637939539674446,,,,0.022889716281976787,,
4,cptc_pi,,,,,,,0.8421052631578947,41141.63643033854
4,best_ramp_up,10345.033203125,-5.635595425494224,-5.635595321655273,16.925886422955017,16.65962040424347,,,
4,best_peak,6453.708984375,0.30911052200349864,0.30911052227020264,0.9631499407560287,13.819397985935211,,,
