invernadero,model,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%)
3,best,3535.0680732941523,0.754831243765148,0.754831243765148,3.9489440213261213,8.689196260717756
3,ensemble_top20,3617.6409367230044,0.7432440714967036,0.7432440714967036,4.587743466441682,8.503594001719701
4,best,5609.740244805339,0.5676169736558121,0.5676169736558121,5.357033805960649,11.709692423007851
4,ensemble_top20,5963.77544694534,0.5113187250762624,0.5113187250762624,5.042898897925202,11.402864945700188
