invernadero,model,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%),R²_std,pi_coverage,pi_avg_width
3,best,4831.722808652111,0.6565951180098999,0.6565951180098999,8.296566319782709,12.587855132621007,,,
3,ensemble_top20,5368.140937920439,0.5761128400638076,0.5761128400638076,10.138919682247762,13.62633908700409,,,
3,top25_mean,,0.5185120950527686,,,,0.06176177185914798,,
3,cptc_pi,,,,,,,0.8421052631578947,24926.09226733558
3,best_ramp_up,7094.872035701502,-3.5127942741130074,-3.5127942741130074,12.796733961736592,12.48762107522296,,,
3,best_peak,4468.958190868737,0.3586360061276096,0.3586360061276096,7.37100627267478,12.60038438979576,,,
