invernadero,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%)
3,5807.522707661159,-0.12615644931793213,-0.12615645,5.409158,16.264283657073975
4,7833.219516903634,-0.2308424711227417,-0.23084247,6.1816874,14.759798347949982
