invernadero,order,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%)
3,"(2, 0, 0)",25937.715281955065,-6.285000479663548,-6.285000479663548,71.84907791597807,73.3190058463593
4,"(2, 0, 2)",20695.509619649838,-2.3015338187447867,-2.3015338187447867,38.14325755179758,35.57554019255682
