invernadero,model,RMSE (kg),R²,NSE,PBIAS (%),MAPE (%),R²_std,pi_coverage,pi_avg_width
3,best,6097.716796875,0.4530637861066159,0.45306384563446045,12.808087550195568,14.508253335952759,,,
3,ensemble_top20,6361.73583984375,0.4046759229542597,0.40467602014541626,12.909173910858433,15.706974267959595,,,
3,top25_mean,,0.3745612006512634,,,,0.03437330522011667,,
3,cptc_pi,,,,,,,0.8421052631578947,23222.363278428824
3,best_ramp_up,9361.7900390625,-6.8573179738161265,-6.85731840133667,17.93488577703695,17.729532718658447,,,
3,best_peak,5556.48486328125,0.008500933805013156,0.008500993251800537,11.753647517091022,14.105597138404846,,,
